annee,groupe,espece,code_boite,temperature_cible,semaine,type_mesure,valeur_brute,valeur,statut_cellule,couleur_cellule,fichier_source,feuille_source,ligne_source,colonne_source,valeur_est_addition,code_espece_local,code_souche,numero_souche_local,code_provenance,numero_boite_local
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,23,ephyrules,0,0,standard,,Suivi_2025.xlsx,Aurelia,14,28,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,24,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,14,29,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,25,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,14,30,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,26,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,14,31,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,27,ephyrules,0,0,standard,,Suivi_2025.xlsx,Aurelia,14,32,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,28,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,14,33,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,29,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,14,34,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,30,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,14,35,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,31,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,14,36,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,32,ephyrules,0,0,standard,,Suivi_2025.xlsx,Aurelia,14,37,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,33,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,14,38,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,34,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,14,39,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,35,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,14,40,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,36,ephyrules,0,0,standard,,Suivi_2025.xlsx,Aurelia,14,41,False,ACA,ACA-FBA-1,1,FBA,02
2025,Aurelia,Aurelia coerulea,ACA-FBA-1.02,,37,ephyrules,0.0,0,standard,,Suivi_2025.xlsx,Aurelia,14,42,False,ACA,ACA-FBA-1,1,FBA,02
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.05,,1,polypes,2,2,standard,,Suivi_2025.xlsx,UMR_MARBEC,3,6,False,RPU,RPU-FBA-1,1,FBA,05
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.05,,1,ephyrules,0,0,standard,,Suivi_2025.xlsx,UMR_MARBEC,4,6,False,RPU,RPU-FBA-1,1,FBA,05
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.07,,1,polypes,10,10,standard,,Suivi_2025.xlsx,UMR_MARBEC,7,6,False,RPU,RPU-FBA-1,1,FBA,07
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.07,,2,polypes,19.0,19,standard,,Suivi_2025.xlsx,UMR_MARBEC,7,7,False,RPU,RPU-FBA-1,1,FBA,07
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.07,,3,polypes,18.0,18,standard,,Suivi_2025.xlsx,UMR_MARBEC,7,8,False,RPU,RPU-FBA-1,1,FBA,07
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.07,,4,polypes,16.0,16,standard,,Suivi_2025.xlsx,UMR_MARBEC,7,9,False,RPU,RPU-FBA-1,1,FBA,07
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.07,,5,polypes,15,15,standard,,Suivi_2025.xlsx,UMR_MARBEC,7,10,False,RPU,RPU-FBA-1,1,FBA,07
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.07,,6,polypes,16,16,standard,,Suivi_2025.xlsx,UMR_MARBEC,7,11,False,RPU,RPU-FBA-1,1,FBA,07
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.07,,7,polypes,16.0,16,standard,,Suivi_2025.xlsx,UMR_MARBEC,7,12,False,RPU,RPU-FBA-1,1,FBA,07
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.07,,8,polypes,16.0,16,standard,,Suivi_2025.xlsx,UMR_MARBEC,7,13,False,RPU,RPU-FBA-1,1,FBA,07
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.07,,9,polypes,16,16,standard,,Suivi_2025.xlsx,UMR_MARBEC,7,14,False,RPU,RPU-FBA-1,1,FBA,07
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.07,,10,polypes,16,16,standard,,Suivi_2025.xlsx,UMR_MARBEC,7,15,False,RPU,RPU-FBA-1,1,FBA,07
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.07,,11,polypes,16.0,16,standard,,Suivi_2025.xlsx,UMR_MARBEC,7,16,False,RPU,RPU-FBA-1,1,FBA,07
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.07,,12,polypes,12.0,12,standard,,Suivi_2025.xlsx,UMR_MARBEC,7,17,False,RPU,RPU-FBA-1,1,FBA,07
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.07,,13,polypes,12.0,12,standard,,Suivi_2025.xlsx,UMR_MARBEC,7,18,False,RPU,RPU-FBA-1,1,FBA,07
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.07,,14,polypes,16,16,standard,,Suivi_2025.xlsx,UMR_MARBEC,7,19,False,RPU,RPU-FBA-1,1,FBA,07
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.07,,15,polypes,22.0,22,standard,,Suivi_2025.xlsx,UMR_MARBEC,7,20,False,RPU,RPU-FBA-1,1,FBA,07
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.07,,16,polypes,16.0,16,standard,,Suivi_2025.xlsx,UMR_MARBEC,7,21,False,RPU,RPU-FBA-1,1,FBA,07
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.07,,17,polypes,14.0,14,standard,,Suivi_2025.xlsx,UMR_MARBEC,7,22,False,RPU,RPU-FBA-1,1,FBA,07
2025,UMR_MARBEC,Rhizostoma pulmo,RPU-FBA-1.07,,18,polypes,14,14,standard,,Suivi_2025.xlsx,UMR_MARBEC,7,23,False,RPU,RPU-FBA-1,1,FBA,07
