annee,groupe,espece,code_boite,temperature_cible,semaine,type_mesure,valeur_brute,valeur,statut_cellule,couleur_cellule,fichier_source,feuille_source,ligne_source,colonne_source,valeur_est_addition,code_espece_local,code_souche,numero_souche_local,code_provenance,numero_boite_local,raison_anomalie_bloquante,raison_validation_metier
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,48,ephyrules,200.0,200,standard,92D050,Suivi_2020.xlsx,Rhizostomae,144,52,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,49,ephyrules,200.0,200,standard,92D050,Suivi_2020.xlsx,Rhizostomae,144,53,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,50,ephyrules,200.0,200,standard,92D050,Suivi_2020.xlsx,Rhizostomae,144,54,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,51,ephyrules,200.0,200,standard,92D050,Suivi_2020.xlsx,Rhizostomae,144,55,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.01,20.0,52,ephyrules,200.0,200,standard,92D050,Suivi_2020.xlsx,Rhizostomae,144,56,False,SME,SME-JKA-1,1,JKA,01,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,1,polypes,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,145,5,False,SME,SME-JKA-1,1,JKA,04,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,2,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,145,6,False,SME,SME-JKA-1,1,JKA,04,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,3,polypes,100.0,100,standard,FFFF00,Suivi_2020.xlsx,Rhizostomae,145,7,False,SME,SME-JKA-1,1,JKA,04,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,4,polypes,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,145,8,False,SME,SME-JKA-1,1,JKA,04,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
2020,Rhizostomae,Stomolophus meleagris,SME-JKA-1.04,15.0,5,polypes,200.0,200,standard,00FF00,Suivi_2020.xlsx,Rhizostomae,145,9,False,SME,SME-JKA-1,1,JKA,04,,boite_plusieurs_noms_especes;souche_plusieurs_noms_especes;code_espece_plusieurs_noms;
